timestamp,metric,dimension,value
2025-05-16T21:14:57.020480,followers_count,total,2172
2025-05-16T21:15:01.917126,followers_count,total,2172
2025-05-16T21:15:08.150680,followers_count,total,2172
2025-05-16T21:15:13.118403,followers_count,total,2172
2025-05-16T21:15:18.420092,followers_count,total,2172
2025-05-16T21:15:24.122066,followers_count,total,2172
2025-05-16T21:15:29.043775,followers_count,total,2172
2025-05-16T21:15:34.064990,followers_count,total,2172
2025-05-16T21:15:41.046144,followers_count,total,2172
2025-05-16T21:15:46.134469,followers_count,total,2172
2025-05-16T21:15:51.151578,followers_count,total,2172
2025-05-16T21:15:57.052542,followers_count,total,2172
2025-05-16T21:16:02.108464,followers_count,total,2172
2025-05-16T21:16:07.199211,followers_count,total,2172
2025-05-21T11:54:55.711722,followers_count,total,2190
2025-05-21T11:55:06.274993,followers_count,total,2190
2025-05-21T11:55:16.672781,followers_count,total,2190
2025-05-21T11:55:26.831435,followers_count,total,2190
2025-05-21T11:55:37.113318,followers_count,total,2190
2025-05-21T11:55:47.526339,followers_count,total,2190
2025-05-21T11:55:57.820689,followers_count,total,2190
2025-05-21T11:56:09.073388,followers_count,total,2190
2025-05-21T11:56:19.281740,followers_count,total,2190
2025-05-21T11:56:29.441516,followers_count,total,2190
2025-05-21T11:56:39.914798,followers_count,total,2190
2025-05-21T11:56:51.323666,followers_count,total,2190
2025-05-21T11:57:01.585965,followers_count,total,2190
2025-05-21T11:57:11.779066,followers_count,total,2190
2025-05-21T11:57:21.860579,followers_count,total,2190
2025-05-21T11:57:32.172782,followers_count,total,2190
2025-05-21T11:57:42.702436,followers_count,total,2190
2025-05-21T11:57:53.096498,followers_count,total,2190
2025-05-21T11:58:03.212256,followers_count,total,2190
2025-05-21T11:58:14.092401,followers_count,total,2190
2025-05-21T11:58:24.313344,followers_count,total,2190
2025-05-21T11:58:34.374459,followers_count,total,2190
2025-05-21T11:58:44.535817,followers_count,total,2190
2025-05-21T11:58:54.773375,followers_count,total,2190
2025-05-21T11:59:05.055143,followers_count,total,2190
2025-05-21T11:59:15.165389,followers_count,total,2190
2025-05-21T11:59:25.402565,followers_count,total,2190
2025-05-21T11:59:35.633807,followers_count,total,2190
2025-05-21T11:59:46.031081,followers_count,total,2190
2025-05-21T11:59:56.768171,followers_count,total,2190
2025-05-21T12:00:07.017270,followers_count,total,2190
2025-05-21T12:00:19.845920,followers_count,total,2190
2025-05-21T12:00:30.077388,followers_count,total,2190
2025-05-21T12:00:40.294012,followers_count,total,2190
2025-05-21T12:00:50.650054,followers_count,total,2190
2025-05-21T12:01:00.984699,followers_count,total,2190
2025-05-21T12:01:11.310629,followers_count,total,2190
2025-05-21T12:01:21.590022,followers_count,total,2190
2025-05-21T12:01:33.732629,followers_count,total,2190
2025-05-21T12:01:43.951901,followers_count,total,2190
2025-05-21T12:01:53.970624,followers_count,total,2190
2025-05-21T12:02:04.107209,followers_count,total,2190
2025-05-21T12:02:14.320512,followers_count,total,2190
2025-05-21T12:02:24.595668,followers_count,total,2190
2025-05-21T12:02:34.968610,followers_count,total,2190
2025-05-21T12:02:45.461692,followers_count,total,2190
2025-05-21T12:02:55.579349,followers_count,total,2190
2025-05-21T12:03:05.964002,followers_count,total,2190
2025-05-21T12:03:16.324697,followers_count,total,2190
2025-05-21T12:03:26.514204,followers_count,total,2190
2025-05-21T12:03:37.079766,followers_count,total,2190
2025-05-21T12:03:47.593707,followers_count,total,2190
2025-05-21T12:03:57.907021,followers_count,total,2190
2025-05-21T12:04:08.098073,followers_count,total,2190
2025-05-21T12:04:18.542434,followers_count,total,2190
2025-05-21T12:04:28.635184,followers_count,total,2190
2025-05-21T12:04:38.746987,followers_count,total,2190
2025-05-21T12:04:48.942235,followers_count,total,2190
2025-05-21T12:04:59.647750,followers_count,total,2190
2025-05-21T12:05:10.466139,followers_count,total,2190
2025-05-21T12:05:20.647873,followers_count,total,2190
2025-05-21T12:05:31.310122,followers_count,total,2190
2025-05-21T12:05:41.591721,followers_count,total,2190
2025-05-21T12:05:51.754920,followers_count,total,2190
2025-05-21T12:06:01.832104,followers_count,total,2190
2025-05-21T12:06:12.768680,followers_count,total,2190
2025-05-21T12:06:24.307959,followers_count,total,2190
2025-05-21T12:06:34.574138,followers_count,total,2190
2025-05-21T12:06:44.724023,followers_count,total,2190
2025-05-21T12:06:55.082120,followers_count,total,2190
2025-05-21T12:07:05.847321,followers_count,total,2190
2025-05-21T12:07:16.128737,followers_count,total,2190
2025-05-21T12:07:26.358455,followers_count,total,2190
2025-05-21T12:07:36.382644,followers_count,total,2190
2025-05-21T12:07:46.646865,followers_count,total,2190
2025-05-21T12:07:57.587433,followers_count,total,2190
2025-05-21T12:08:07.781679,followers_count,total,2190
2025-05-21T12:08:17.950495,followers_count,total,2190
2025-05-21T12:08:28.795582,followers_count,total,2190
2025-05-21T12:08:39.239905,followers_count,total,2190
2025-05-21T12:08:49.254668,followers_count,total,2190
2025-05-21T12:08:59.222172,followers_count,total,2190
2025-05-21T12:09:09.390106,followers_count,total,2190
2025-05-21T12:09:19.718824,followers_count,total,2190
2025-05-21T12:09:29.818486,followers_count,total,2190
2025-05-21T12:09:39.970661,followers_count,total,2190
2025-05-21T12:09:50.513480,followers_count,total,2190
2025-05-21T12:10:00.613855,followers_count,total,2190
2025-05-21T12:10:10.788066,followers_count,total,2190
2025-05-21T12:10:20.774509,followers_count,total,2190
2025-05-21T12:10:31.222680,followers_count,total,2190
2025-05-21T12:10:41.262925,followers_count,total,2190
2025-05-21T12:10:51.230585,followers_count,total,2190
2025-05-21T12:11:01.276563,followers_count,total,2190
2025-05-21T12:11:11.506908,followers_count,total,2190
2025-05-21T12:11:21.681146,followers_count,total,2190
2025-05-21T12:11:33.930966,followers_count,total,2190
2025-05-21T12:11:43.859145,followers_count,total,2190
2025-05-21T12:11:54.858243,followers_count,total,2190
2025-05-21T12:12:04.785316,followers_count,total,2190
2025-05-21T12:12:14.760229,followers_count,total,2190
2025-05-21T12:12:25.560071,followers_count,total,2190
2025-05-21T12:12:35.721653,followers_count,total,2190
2025-05-21T12:12:45.704716,followers_count,total,2190
2025-05-21T12:12:55.910232,followers_count,total,2190
2025-05-21T12:13:06.537741,followers_count,total,2190
2025-05-21T12:13:18.417891,followers_count,total,2190
2025-05-21T12:13:28.829226,followers_count,total,2190
2025-05-21T12:13:38.924479,followers_count,total,2190
2025-05-21T12:13:50.974072,followers_count,total,2190
2025-05-21T12:14:01.208698,followers_count,total,2190
2025-05-21T12:14:11.571595,followers_count,total,2190
2025-05-21T12:14:21.830876,followers_count,total,2190
2025-05-21T12:14:32.583096,followers_count,total,2190
2025-05-21T12:14:42.937939,followers_count,total,2190
2025-05-21T12:14:52.761028,followers_count,total,2190
2025-05-21T12:15:02.828553,followers_count,total,2190
2025-05-21T12:15:13.011972,followers_count,total,2190
2025-05-21T12:15:23.051037,followers_count,total,2190
2025-05-21T12:15:33.392943,followers_count,total,2190
2025-05-21T12:15:43.748413,followers_count,total,2190
2025-05-21T12:15:53.883451,followers_count,total,2190
2025-05-21T12:16:04.286081,followers_count,total,2190
2025-05-21T12:16:14.747654,followers_count,total,2190
2025-05-21T12:16:25.974685,followers_count,total,2190
2025-05-21T12:16:36.166322,followers_count,total,2190
2025-05-21T12:16:46.213753,followers_count,total,2190
2025-05-21T12:16:56.556986,followers_count,total,2190
2025-05-21T12:17:06.951929,followers_count,total,2190
2025-05-21T12:17:17.223715,followers_count,total,2190
2025-05-21T12:17:27.553890,followers_count,total,2190
2025-05-21T12:17:37.677389,followers_count,total,2190
2025-05-21T12:17:47.671734,followers_count,total,2190
2025-05-21T12:17:57.829589,followers_count,total,2190
2025-05-21T12:18:09.663552,followers_count,total,2190
2025-05-21T14:01:53.030680,followers_count,total,2190
2025-05-21T14:02:03.483723,followers_count,total,2190
2025-05-21T14:02:13.957404,followers_count,total,2190
2025-05-21T14:02:24.617416,followers_count,total,2190
2025-05-21T14:02:35.377478,followers_count,total,2190
2025-05-21T14:02:45.655511,followers_count,total,2190
